Year,Douglas
1194,98
1195,81
1196,92
1197,157
1198,90
1199,15
1200,50
1201,70
1202,75
1203,128
1204,133
1205,140
1206,82
1207,50
1208,35
1209,42
1210,59
1211,95
1212,136
1213,139
1214,126
1215,122
1216,56
1217,48
1218,34
1219,154
1220,204
1221,127
1222,131
1223,142
1224,28
1225,101
1226,140
1227,45
1228,173
1229,155
1230,158
1231,181
1232,169
1233,90
1234,25
1235,116
1236,58
1237,100
1238,75
1239,69
1240,91
1241,124
1242,165
1243,130
1244,159
1245,115
1246,101
1247,61
1248,145
1249,131
1250,135
1251,43
1252,171
1253,117
1254,38
1255,122
1256,130
1257,141
1258,31
1259,164
1260,153
1261,147
1262,73
1263,73
1264,35
1265,68
1266,25
1267,92
1268,87
1269,73
1270,55
1271,50
1272,105
1273,51
1274,27
1275,98
1276,57
1277,39
1278,104
1279,43
1280,8
1281,30
1282,68
1283,21
1284,96
1285,18
1286,19
1287,30
1288,38
1289,58
1290,99
1291,125
1292,64
1293,111
1294,74
1295,21
1296,91
1297,115
1298,96
1299,75
1300,134
1301,164
1302,169
1303,182
1304,96
1305,131
1306,111
1307,15
1308,54
1309,168
1310,241
1311,214
1312,116
1313,122
1314,128
1315,112
1316,50
1317,27
1318,46
1319,157
1320,154
1321,165
1322,168
1323,121
1324,99
1325,181
1326,110
1327,76
1328,38
1329,77
1330,197
1331,221
1332,268
1333,310
1334,196
1335,123
1336,120
1337,91
1338,85
1339,142
1340,106
1341,148
1342,116
1343,41
1344,132
1345,104
1346,75
1347,54
1348,57
1349,54
1350,8
1351,29
1352,40
1353,146
1354,97
1355,111
1356,131
1357,161
1358,128
1359,119
1360,37
1361,25
1362,34
1363,33
1364,75
1365,54
1366,95
1367,94
1368,133
1369,74
1370,171
1371,114
1372,191
1373,115
1374,180
1375,89
1376,120
1377,93
1378,90
1379,48
1380,157
1381,123
1382,151
1383,176
1384,154
1385,147
1386,176
1387,136
1388,107
1389,48
1390,67
1391,55
1392,130
1393,99
1394,167
1395,101
1396,118
1397,63
1398,80
1399,51
1400,94
1401,85
1402,19
1403,38
1404,92
1405,64
1406,103
1407,42
1408,77
1409,76
1410,68
1411,69
1412,139
1413,92
1414,146
1415,45
1416,93
1417,91
1418,182
1419,113
1420,93
1421,48
1422,93
1423,116
1424,142
1425,115
1426,125
1427,171
1428,181
1429,69
1430,128
1431,134
1432,171
1433,110
1434,147
1435,86
1436,193
1437,117
1438,66
1439,99
1440,138
1441,186
1442,60
1443,117
1444,78
1445,84
1446,78
1447,151
1448,166
1449,91
1450,41
1451,173
1452,156
1453,196
1454,138
1455,80
1456,77
1457,107
1458,121
1459,122
1460,37
1461,27
1462,79
1463,127
1464,112
1465,57
1466,103
1467,131
1468,100
1469,111
1470,129
1471,46
1472,42
1473,36
1474,35
1475,20
1476,88
1477,112
1478,117
1479,78
1480,25
1481,41
1482,95
1483,109
1484,148
1485,118
1486,98
1487,86
1488,106
1489,105
1490,145
1491,172
1492,73
1493,79
1494,103
1495,34
1496,28
1497,31
1498,97
1499,81
1500,45
1501,52
1502,68
1503,70
1504,67
1505,44
1506,17
1507,64
1508,94
1509,95
1510,34
1511,81
1512,85
1513,78
1514,137
1515,44
1516,96
1517,127
1518,52
1519,117
1520,81
1521,94
1522,51
1523,114
1524,83
1525,93
1526,140
1527,169
1528,97
1529,140
1530,127
1531,54
1532,27
1533,86
1534,86
1535,94
1536,138
1537,97
1538,79
1539,90
1540,123
1541,93
1542,48
1543,51
1544,18
1545,44
1546,68
1547,57
1548,95
1549,102
1550,129
1551,99
1552,98
1553,156
1554,110
1555,121
1556,129
1557,157
1558,96
1559,84
1560,123
1561,136
1562,137
1563,94
1564,139
1565,128
1566,71
1567,138
1568,75
1569,100
1570,97
1571,80
1572,121
1573,59
1574,91
1575,95
1576,77
1577,122
1578,160
1579,61
1580,29
1581,109
1582,59
1583,61
1584,12
1585,54
1586,92
1587,121
1588,118
1589,130
1590,90
1591,83
1592,45
1593,99
1594,96
1595,123
1596,155
1597,93
1598,84
1599,65
1600,33
1601,104
1602,116
1603,141
1604,169
1605,150
1606,133
1607,99
1608,90
1609,191
1610,167
1611,129
1612,88
1613,78
1614,154
1615,159
1616,167
1617,178
1618,161
1619,167
1620,150
1621,209
1622,110
1623,130
1624,116
1625,120
1626,52
1627,91
1628,55
1629,72
1630,74
1631,73
1632,22
1633,119
1634,141
1635,94
1636,84
1637,37
1638,42
1639,77
1640,107
1641,78
1642,120
1643,115
1644,105
1645,63
1646,141
1647,149
1648,61
1649,172
1650,90
1651,161
1652,113
1653,78
1654,112
1655,139
1656,137
1657,169
1658,153
1659,100
1660,67
1661,64
1662,80
1663,85
1664,65
1665,65
1666,53
1667,48
1668,43
1669,78
1670,37
1671,40
1672,61
1673,93
1674,124
1675,60
1676,71
1677,83
1678,67
1679,82
1680,126
1681,92
1682,100
1683,132
1684,119
1685,31
1686,33
1687,116
1688,106
1689,56
1690,83
1691,90
1692,110
1693,93
1694,62
1695,99
1696,92
1697,83
1698,109
1699,96
1700,81
1701,119
1702,136
1703,69
1704,84
1705,94
1706,62
1707,49
1708,31
1709,55
1710,47
1711,52
1712,84
1713,91
1714,84
1715,88
1716,78
1717,49
1718,92
1719,99
1720,138
1721,104
1722,52
1723,126
1724,61
1725,68
1726,103
1727,115
1728,100
1729,61
1730,86
1731,102
1732,99
1733,90
1734,155
1735,61
1736,44
1737,97
1738,163
1739,131
1740,61
1741,78
1742,75
1743,101
1744,51
1745,65
1746,138
1747,158
1748,89
1749,165
1750,91
1751,34
1752,66
1753,128
1754,82
1755,110
1756,47
1757,43
1758,78
1759,87
1760,112
1761,110
1762,136
1763,39
1764,116
1765,93
1766,74
1767,95
1768,95
1769,109
1770,98
1771,106
1772,51
1773,22
1774,39
1775,102
1776,59
1777,59
1778,54
1779,79
1780,26
1781,61
1782,31
1783,78
1784,92
1785,91
1786,27
1787,93
1788,51
1789,24
1790,96
1791,78
1792,98
1793,77
1794,41
1795,65
1796,32
1797,118
1798,60
1799,63
1800,56
1801,89
1802,102
1803,74
1804,58
1805,64
1806,75
1807,88
1808,43
1809,90
1810,117
1811,98
1812,109
1813,31
1814,85
1815,81
1816,127
1817,139
1818,47
1819,142
1820,92
1821,137
1822,52
1823,33
1824,65
1825,84
1826,104
1827,59
1828,117
1829,62
1830,82
1831,60
1832,131
1833,96
1834,80
1835,75
1836,36
1837,102
1838,128
1839,151
1840,128
1841,130
1842,66
1843,179
1844,150
1845,46
1846,115
1847,78
1848,129
1849,164
1850,142
1851,74
1852,132
1853,215
1854,161
1855,95
1856,182
1857,81
1858,194
1859,79
1860,117
1861,71
1862,139
1863,119
1864,110
1865,112
1866,136
1867,162
1868,150
1869,112
1870,70
1871,50
1872,144
1873,38
1874,89
1875,85
1876,122
1877,81
1878,61
1879,62
1880,94
1881,40
1882,46
1883,80
1884,121
1885,128
1886,133
1887,81
